,step,mnist-acc,mnistm-acc,domain-acc
217,2170.0,1.0,0.53125,0.890625
218,2180.0,1.0,0.6875,0.765625
219,2190.0,0.96875,0.6875,0.8125
220,2200.0,0.9375,0.65625,0.8125
221,2210.0,0.90625,0.46875,0.75
222,2220.0,0.96875,0.6875,0.84375
223,2230.0,0.9375,0.75,0.859375
224,2240.0,1.0,0.65625,0.8125
225,2250.0,0.96875,0.625,0.8125
226,2260.0,0.9375,0.5625,0.890625
227,2270.0,1.0,0.59375,0.84375
228,2280.0,0.96875,0.625,0.859375
229,2290.0,1.0,0.71875,0.890625
230,2300.0,1.0,0.5625,0.921875
231,2310.0,1.0,0.71875,0.953125
232,2320.0,0.9375,0.4375,0.921875
233,2330.0,0.96875,0.65625,0.859375
234,2340.0,0.9375,0.53125,0.953125
235,2350.0,0.9375,0.625,0.90625
236,2360.0,0.9375,0.5,0.875
237,2370.0,0.96875,0.59375,0.84375
238,2380.0,0.9375,0.625,0.8125
239,2390.0,0.96875,0.6875,0.84375
240,2400.0,1.0,0.6875,0.84375
241,2410.0,0.96875,0.65625,0.765625
242,2420.0,1.0,0.6875,0.859375
243,2430.0,0.9375,0.59375,0.8125
244,2440.0,1.0,0.65625,0.765625
245,2450.0,1.0,0.625,0.96875
246,2460.0,0.96875,0.5,0.78125
247,2470.0,0.9375,0.84375,0.796875
248,2480.0,1.0,0.625,0.796875
249,2490.0,0.9375,0.53125,0.890625
250,2500.0,1.0,0.65625,0.84375
251,2510.0,0.96875,0.5625,0.828125
252,2520.0,0.96875,0.6875,0.890625
253,2530.0,0.96875,0.625,0.875
254,2540.0,1.0,0.59375,0.96875
255,2550.0,0.96875,0.59375,0.890625
256,2560.0,1.0,0.625,0.859375
257,2570.0,0.96875,0.625,0.875
258,2580.0,1.0,0.53125,0.953125
259,2590.0,1.0,0.4375,0.8125
260,2600.0,1.0,0.59375,0.8125
261,2610.0,0.90625,0.5,0.75
262,2620.0,1.0,0.6875,0.828125
263,2630.0,0.96875,0.65625,0.796875
264,2640.0,1.0,0.46875,0.890625
265,2650.0,1.0,0.5,0.90625
266,2660.0,1.0,0.6875,0.890625
267,2670.0,1.0,0.75,0.90625
268,2680.0,0.96875,0.5625,0.875
269,2690.0,1.0,0.5,0.90625
270,2700.0,0.96875,0.5,0.875
271,2710.0,0.9375,0.625,0.875
272,2720.0,0.96875,0.46875,0.84375
273,2730.0,1.0,0.6875,0.890625
