,step,mnist-acc,mnistm-acc,domain-acc
283,2830.0,0.9375,0.40625,1.0
284,2840.0,0.96875,0.59375,1.0
285,2850.0,0.96875,0.46875,0.984375
286,2860.0,1.0,0.46875,0.96875
287,2870.0,0.96875,0.5,1.0
288,2880.0,0.90625,0.5625,0.9375
289,2890.0,0.90625,0.5,0.984375
290,2900.0,0.96875,0.46875,0.96875
291,2910.0,0.96875,0.4375,0.96875
292,2920.0,0.9375,0.53125,0.984375
293,2930.0,1.0,0.4375,0.984375
294,2940.0,0.9375,0.65625,0.9375
295,2950.0,1.0,0.5,0.953125
296,2960.0,0.9375,0.5,0.9375
297,2970.0,0.96875,0.40625,0.953125
298,2980.0,0.96875,0.40625,0.953125
299,2990.0,1.0,0.5625,0.96875
300,3000.0,0.875,0.5,0.953125
301,3010.0,0.96875,0.28125,0.96875
302,3020.0,0.96875,0.5,0.984375
303,3030.0,0.96875,0.46875,0.953125
304,3040.0,1.0,0.5625,0.984375
305,3050.0,0.84375,0.375,0.953125
306,3060.0,0.9375,0.53125,0.9375
307,3070.0,1.0,0.3125,0.984375
308,3080.0,1.0,0.53125,0.953125
309,3090.0,0.96875,0.5625,0.953125
310,3100.0,0.96875,0.4375,0.984375
311,3110.0,0.96875,0.4375,0.984375
312,3120.0,1.0,0.5,0.921875
313,3130.0,0.96875,0.40625,1.0
314,3140.0,0.96875,0.46875,0.96875
315,3150.0,0.96875,0.4375,0.96875
316,3160.0,0.90625,0.65625,0.984375
317,3170.0,0.90625,0.5,0.96875
318,3180.0,1.0,0.4375,0.984375
319,3190.0,0.96875,0.4375,0.9375
320,3200.0,1.0,0.375,0.953125
321,3210.0,0.96875,0.53125,0.96875
322,3220.0,1.0,0.5,0.984375
323,3230.0,0.9375,0.6875,0.921875
324,3240.0,0.96875,0.59375,0.96875
325,3250.0,0.9375,0.5,1.0
326,3260.0,0.9375,0.40625,0.890625
327,3270.0,1.0,0.40625,0.96875
328,3280.0,0.96875,0.53125,0.953125
329,3290.0,0.9375,0.5,0.9375
330,3300.0,0.96875,0.4375,0.921875
331,3310.0,1.0,0.40625,0.9375
332,3320.0,0.9375,0.53125,0.90625
333,3330.0,1.0,0.5625,0.890625
334,3340.0,0.90625,0.40625,0.953125
335,3350.0,1.0,0.4375,0.90625
336,3360.0,0.9375,0.375,1.0
337,3370.0,0.9375,0.5625,0.96875
338,3380.0,1.0,0.4375,0.96875
339,3390.0,0.96875,0.46875,0.96875
340,3400.0,0.9375,0.28125,0.984375
341,3410.0,1.0,0.53125,0.96875
342,3420.0,0.96875,0.4375,0.9375
343,3430.0,1.0,0.5625,0.953125
344,3440.0,0.96875,0.53125,0.984375
345,3450.0,0.96875,0.40625,0.96875
346,3460.0,0.90625,0.53125,0.953125
347,3470.0,0.9375,0.53125,0.890625
348,3480.0,1.0,0.5,0.921875
349,3490.0,0.96875,0.59375,0.9375
350,3500.0,1.0,0.53125,0.953125
351,3510.0,1.0,0.59375,0.90625
352,3520.0,0.90625,0.53125,0.90625
353,3530.0,0.96875,0.625,0.9375
354,3540.0,1.0,0.53125,0.953125
355,3550.0,0.96875,0.34375,0.96875
356,3560.0,1.0,0.4375,0.890625
357,3570.0,0.96875,0.40625,0.9375
358,3580.0,0.96875,0.4375,0.953125
359,3590.0,0.96875,0.5625,0.9375
360,3600.0,0.9375,0.4375,0.96875
361,3610.0,0.90625,0.5,0.921875
362,3620.0,1.0,0.34375,0.890625
363,3630.0,0.96875,0.59375,0.90625
364,3640.0,1.0,0.53125,0.9375
365,3650.0,0.9375,0.46875,0.953125
366,3660.0,1.0,0.46875,0.984375
367,3670.0,1.0,0.5,0.90625
368,3680.0,1.0,0.34375,0.9375
369,3690.0,0.9375,0.46875,0.875
370,3700.0,1.0,0.59375,0.96875
371,3710.0,0.96875,0.53125,0.96875
372,3720.0,1.0,0.34375,0.90625
373,3730.0,0.96875,0.53125,0.90625
374,3740.0,0.9375,0.46875,0.890625
375,3750.0,0.96875,0.59375,0.90625
376,3760.0,1.0,0.59375,0.890625
377,3770.0,1.0,0.53125,0.921875
378,3780.0,1.0,0.53125,0.890625
379,3790.0,0.96875,0.40625,0.921875
380,3800.0,0.96875,0.59375,0.859375
381,3810.0,1.0,0.3125,0.9375
382,3820.0,0.9375,0.53125,0.9375
383,3830.0,0.9375,0.5,0.84375
384,3840.0,1.0,0.46875,0.875
385,3850.0,1.0,0.625,0.828125
386,3860.0,0.90625,0.65625,0.828125
387,3870.0,1.0,0.5625,0.9375
388,3880.0,0.90625,0.53125,0.859375
389,3890.0,1.0,0.40625,0.84375
390,3900.0,0.96875,0.46875,0.9375
391,3910.0,0.96875,0.6875,0.84375
392,3920.0,0.9375,0.4375,0.84375
393,3930.0,0.96875,0.46875,0.953125
394,3940.0,0.96875,0.6875,0.890625
395,3950.0,1.0,0.40625,0.9375
396,3960.0,1.0,0.53125,0.859375
397,3970.0,0.9375,0.46875,0.9375
398,3980.0,0.9375,0.59375,0.890625
399,3990.0,1.0,0.5625,0.84375
400,4000.0,1.0,0.65625,0.90625
401,4010.0,0.90625,0.71875,0.78125
402,4020.0,1.0,0.40625,0.921875
403,4030.0,1.0,0.59375,0.90625
404,4040.0,1.0,0.59375,0.890625
405,4050.0,0.96875,0.75,0.875
406,4060.0,0.9375,0.75,0.859375
407,4070.0,1.0,0.5625,0.84375
408,4080.0,1.0,0.46875,0.890625
409,4090.0,0.96875,0.625,0.796875
410,4100.0,1.0,0.28125,0.921875
411,4110.0,1.0,0.5,0.859375
412,4120.0,0.96875,0.625,0.796875
413,4130.0,1.0,0.59375,0.765625
414,4140.0,0.9375,0.5,0.828125
415,4150.0,1.0,0.4375,0.828125
416,4160.0,1.0,0.5625,0.78125
417,4170.0,0.9375,0.4375,0.734375
418,4180.0,0.96875,0.5625,0.828125
419,4190.0,1.0,0.375,0.78125
420,4200.0,0.96875,0.65625,0.828125
421,4210.0,0.875,0.65625,0.859375
422,4220.0,0.90625,0.59375,0.90625
423,4230.0,1.0,0.5625,0.828125
424,4240.0,0.9375,0.59375,0.859375
425,4250.0,1.0,0.5,0.90625
426,4260.0,0.96875,0.5625,0.859375
427,4270.0,1.0,0.625,0.84375
428,4280.0,0.9375,0.53125,0.9375
429,4290.0,0.9375,0.65625,0.796875
430,4300.0,0.9375,0.65625,0.859375
431,4310.0,1.0,0.5625,0.90625
432,4320.0,0.9375,0.53125,0.796875
433,4330.0,0.96875,0.5625,0.90625
434,4340.0,1.0,0.625,0.921875
435,4350.0,1.0,0.625,0.96875
436,4360.0,0.96875,0.5,0.796875
437,4370.0,0.96875,0.625,0.875
438,4380.0,0.96875,0.65625,0.875
439,4390.0,0.96875,0.5625,0.921875
440,4400.0,1.0,0.65625,0.828125
441,4410.0,1.0,0.625,0.828125
442,4420.0,0.96875,0.65625,0.8125
443,4430.0,1.0,0.65625,0.90625
